product_option_id,product_id,product_name,color,size,sku_code,demand_share,base,season_strength,peak_month
1,1,롱패딩,블랙,M,SKU001-블-M,0.454,6,0.95,1
2,1,롱패딩,블랙,L,SKU001-블-L,0.284,6,0.95,1
3,1,롱패딩,베이지,M,SKU001-베-M,0.262,6,0.95,1
4,2,니트,네이비,M,SKU002-네-M,0.229,12,0.7,12
5,2,니트,네이비,L,SKU002-네-L,0.771,12,0.7,12
6,3,반팔티셔츠,화이트,S,SKU003-화-S,0.443,22,0.85,7
7,3,반팔티셔츠,화이트,M,SKU003-화-M,0.175,22,0.85,7
8,3,반팔티셔츠,블랙,M,SKU003-블-M,0.382,22,0.85,7
9,4,청바지,블루,M,SKU004-블-M,0.903,18,0.15,7
10,4,청바지,블루,L,SKU004-블-L,0.097,18,0.15,7
11,5,바람막이,카키,M,SKU005-카-M,1.0,9,0.5,4
